#Distances    VirialMass
51.0804834525  17300800000.0
51.2850283836  17170800000.0
49.5310991327  17123500000.0
48.8364679357  17107000000.0
48.9507797862  8.75516e+12
49.1015004502  17095200000.0
47.208292039  17579600000.0
45.3319875843  17081000000.0
55.340163966  17055000000.0
46.3311507603  17021900000.0
56.1236881355  16984100000.0
47.4997694787  16960500000.0
45.8805148611  16955800000.0
51.5863653426  16946300000.0
55.2773976466  16932100000.0
47.6299046612  24966900000.0
58.3814827743  23903500000.0
44.0406319384  44354400000.0
57.1629757537  16639100000.0
45.010523723  16598900000.0
54.632496263  16591800000.0
49.60936569  16568200000.0
47.113404069  16523300000.0
53.2452989595  16409900000.0
51.910035239  16171200000.0
47.4320535537  17390600000.0
49.2087216637  16918000000.0
44.9967516793  16157000000.0
51.2452461072  16152300000.0
49.2483990851  16123900000.0
45.7186069617  16055400000.0
53.3234514729  16003400000.0
46.8274751612  15998700000.0
53.0881792964  15975000000.0
49.2998045664  15904200000.0
50.5112126505  15835600000.0
48.5557218158  15826200000.0
45.696247904  15771800000.0
46.9944292199  15764700000.0
50.3502245506  15764700000.0
46.3062963937  15724600000.0
46.3679484728  15677300000.0
50.7937855634  15535500000.0
52.8320110778  15507100000.0
48.0553921493  7.93724e+12
56.9479799813  15457500000.0
47.4655344832  77271000000.0
50.1163656833  15386600000.0
50.8140672804  15270800000.0
45.2186087834  15263700000.0
49.5232680745  15259000000.0
50.5309137577  15251900000.0
47.904603531  15188100000.0
50.900523865  15136100000.0
55.1284640611  15095900000.0
53.5510841493  89944700000.0
50.6127770491  15022700000.0
49.944952236  15003800000.0
47.217773946  14951800000.0
54.9027242168  14944700000.0
49.9615045476  14895100000.0
52.1743608451  25021300000.0
53.1014467449  15734000000.0
46.4080035389  14845500000.0
44.7967164464  14831300000.0
53.8994606414  14805300000.0
55.3372678019  14802900000.0
51.3781069685  14765100000.0
47.5408220848  29523100000.0
57.1901714455  14687100000.0
48.8283678429  14675300000.0
53.2134774012  14665900000.0
53.1351875029  14613900000.0
45.3535039824  36584300000.0
46.9834731674  14545300000.0
50.0104267422  14531100000.0
49.9869623964  14488600000.0
49.4801747826  14379900000.0
47.7437393422  14361000000.0
54.2653632743  14316100000.0
46.9574441205  14238100000.0
45.6475011689  14221600000.0
53.1084685486  14205000000.0
52.9416030978  14422400000.0
47.0876540268  14153000000.0
49.4541885156  14075100000.0
55.6135035595  7.10842e+12
54.0317169599  13822200000.0
71.2955826642  7.06971e+12
46.9007841704  13777300000.0
47.2886693781  13767800000.0
45.7821003935  13725300000.0
48.4990783633  7.01889e+12
54.5621102702  13656800000.0
50.0885964197  13649700000.0
59.0103125242  19042400000.0
54.2491939295  13567000000.0
56.0881109522  13564600000.0
51.8588000371  13541000000.0
52.359805656  13536300000.0
46.6272977651  13517300000.0
46.9416949969  13503200000.0
50.5537150974  13477200000.0
56.5138189281  13474800000.0
53.7572658625  16979400000.0
46.5749900545  13439400000.0
54.6991179056  13377900000.0
56.4087848977  13359000000.0
46.9283314846  13349600000.0
49.8963287657  22263500000.0
54.4606682775  13318800000.0
51.0674104753  13297600000.0
48.0258681446  13243200000.0
56.8962271904  6.76117e+12
52.3224893403  13127400000.0
55.1606382551  13120300000.0
44.8713138999  13351900000.0
45.1031468993  13087300000.0
54.4232729344  13070700000.0
52.952938389  13044700000.0
48.5312186944  13032900000.0
48.9475399145  461932000000.0
44.8295549342  15868700000.0
54.9049092177  14188500000.0
45.6359128054  12893500000.0
54.7536254024  12858000000.0
44.8979777232  12834400000.0
54.5884664591  12768200000.0
45.9367332482  12652400000.0
44.7780129536  12650100000.0
46.7821413499  6.47683e+12
53.8720035812  12633500000.0
47.4825665804  12617000000.0
54.0915182616  20365800000.0
46.9362624867  12576800000.0
54.369924832  12539000000.0
45.9521285138  12602800000.0
45.5777561994  12489400000.0
46.700845286  12439700000.0
45.5282207972  12432700000.0
54.8756121458  12380700000.0
52.1149582334  12758800000.0
50.1712862887  12312100000.0
47.1725254492  12302700000.0
54.980961133  12794200000.0
47.4288052031  12274300000.0
49.9374056366  12264900000.0
49.6761116696  12264900000.0
48.3604790089  12236500000.0
55.8179747277  13328300000.0
51.6903575443  12203400000.0
57.4143345266  12016700000.0
53.2985218695  11971800000.0
46.3719250839  11969500000.0
47.3396060141  11969500000.0
50.3505720511  11964700000.0
62.1510702061  6.10417e+12
55.070650713  11893800000.0
44.980594366  11870200000.0
50.3771625686  11863100000.0
54.1449044931  11801700000.0
47.0376338901  11792200000.0
53.9413417228  70992100000.0
46.5439496154  11733200000.0
44.6540346436  14070300000.0
53.966027337  11685900000.0
57.856114494  5.97955e+12
47.6523312496  11678800000.0
49.3842460915  11622100000.0
45.2905113437  11622100000.0
49.554327852  11619700000.0
50.917936155  11584300000.0
47.0786997724  12966700000.0
53.4122736177  11520500000.0
47.2074327482  11511000000.0
63.010251731  5.89243e+12
47.7875764641  28249400000.0
53.2525129488  11473200000.0
46.8125485871  11473200000.0
56.2106244063  11466100000.0
47.7435770869  12153800000.0
46.7814630555  12052200000.0
49.4243254623  11324300000.0
58.1265431336  11624400000.0
44.6869896177  11492100000.0
54.0181457395  11300700000.0
44.1852565802  5.78474e+12
52.9236432511  12002600000.0
47.1455898275  11251100000.0
46.8754196042  11229800000.0
47.0834243418  11229800000.0
45.0483463081  11206200000.0
48.0249422596  11142400000.0
52.5958262359  11121100000.0
54.6437366897  11298300000.0
48.0865831363  191521000000.0
52.228433299  22024800000.0
52.7537797237  10934400000.0
52.0934977319  158489000000.0
50.3578374986  10891900000.0
76.9543081735  5.57663e+12
46.757390399  10875300000.0
45.2052419915  10870600000.0
47.26086119  10856400000.0
57.620085229  10854100000.0
63.2148713886  5.53187e+12
46.7196438389  10797300000.0
51.5507199002  10785500000.0
50.2909150181  10707500000.0
46.0206293262  10646100000.0
58.3419622732  13621300000.0
48.8584372248  5.41087e+12
47.3917334821  10553900000.0
57.8276030139  18014500000.0
48.0200876255  10492500000.0
51.495415768  10487800000.0
56.8700531233  10485400000.0
46.639376268  10471200000.0
50.2964001312  10426300000.0
49.8192928523  10386100000.0
54.5613128334  10350700000.0
57.1539637897  10308200000.0
52.8405158621  10301100000.0
53.0908141384  10298700000.0
74.1441096389  5.26568e+12
44.4908015599  33330200000.0
47.7012894632  10218400000.0
68.7964752274  5.17009e+12
55.3711709489  10095500000.0
49.5942991411  10074200000.0
51.7551459774  10043500000.0
56.4363564318  10008000000.0
48.0001455756  10008000000.0
51.6771219484  9984400000.0
55.9628411807  18345300000.0
44.9157496329  11329100000.0
47.7468457559  38779700000.0
45.4106219985  9970230000.0
54.9263155698  9901690000.0
54.0951448035  9901690000.0
45.0825865681  10190000000.0
53.2700234169  9849700000.0
