#X(10*Mpc)   Y(10*Mpc)  Z(10*Mpc)  Potencial
19.07495407  36.35616522  38.58763949  7.35069464577e+24
27.5736328  33.86706116  29.5199421  1.70240430858e+24
19.18990121  31.72902622  39.32788021  1.78651140114e+24
19.49444281  31.43983316  27.02706022  2.14271588446e+24
21.04555438  27.9783942  33.62128589  1.68195464577e+24
19.40083013  28.17742847  28.91611252  1.73840707796e+24
16.81443893  33.67982487  28.31230256  3.64133616091e+24
21.36706024  28.41803782  32.33984074  1.67311213522e+24
20.04424164  33.16544792  39.52661211  1.73125113702e+24
21.43773414  33.45649457  37.34846189  2.28145236114e+24
21.89635009  33.28310166  34.72998792  1.88684396298e+24
21.37297542  34.0754989  37.10330087  1.94012597675e+24
19.9197297  32.96559439  36.01232382  1.72911345695e+24
16.86960191  34.10144972  27.15004459  2.56171155168e+24
16.95649525  31.85640164  31.23700372  1.68451709617e+24
18.89259907  28.63988285  37.25544803  1.49379962891e+24
21.72325535  29.43865068  28.19018636  1.75002430553e+24
21.17618166  33.28158771  35.30035526  1.70373896254e+24
21.07568353  30.32106684  30.43404848  1.73861953705e+24
16.82178866  33.48569502  29.16044082  1.90546030445e+24
22.03958514  33.8766183  30.37144503  1.93688307649e+24
20.51263257  34.93816959  28.11282625  1.7907203011e+24
20.19125932  30.78754627  26.51376805  2.17161835386e+24
21.48242618  33.32177908  37.88280481  1.85088010312e+24
17.94273106  35.89670397  32.07571945  1.5889888682e+24
20.16625842  35.66311646  37.66476199  1.5218541198e+24
20.99822779  29.71768158  29.2716039  1.76773930471e+24
24.47938745  34.89380852  30.07990332  1.57850925119e+24
21.89102861  37.24207302  29.69279688  1.59932210437e+24
19.9180472  31.93268693  28.72578326  1.97871461168e+24
18.41556266  32.72681072  27.6836808  1.91607676505e+24
17.11227785  33.3501345  28.63504822  2.00533840914e+24
21.73768667  29.52809589  34.3523914  1.48727739912e+24
20.92323792  38.04430115  37.6860527  2.38905233653e+24
22.93320128  34.8232634  37.83722002  1.46731347454e+24
20.88970962  26.93703641  34.56834399  1.40523625513e+24
19.99187144  30.99581265  29.19468831  1.71706377979e+24
22.63356018  29.02750145  30.30637312  1.49861386269e+24
21.27227654  28.09414935  33.77296461  1.43287682005e+24
29.54960328  34.8632373  30.53302267  1.80583744069e+25
20.01070241  30.0915942  26.61483128  2.81976734799e+24
21.38201866  27.50293269  33.31135658  1.400304325e+24
20.93119311  29.59400225  30.18843132  1.6543240155e+24
21.04396941  33.55653914  37.44161168  3.22125555701e+24
21.16353193  25.85358405  32.65832643  1.32570649261e+24
22.32566352  32.7902854  33.63485402  1.53961387213e+24
22.00153715  31.51068876  36.78038059  1.42675909887e+24
20.99166473  34.20185001  36.97409845  1.59970485617e+24
22.6130809  32.74147354  31.58229538  1.53597375506e+24
17.46262184  33.86250153  31.06758514  1.53080923392e+24
21.0490125  34.34411969  28.80427388  1.6061827626e+24
19.81352067  25.92876068  32.79828136  1.47559984573e+24
20.93814356  26.39466684  33.2928992  1.3101053456e+24
22.31269768  28.09986725  34.02999313  1.32434830771e+24
23.34643441  34.14253305  35.9448918  1.40201697456e+24
18.78324248  37.08504476  34.97522818  1.37300480306e+24
21.09252339  28.45677745  35.26298744  1.33064692367e+24
19.09780665  32.59826938  28.25382682  1.67592028654e+24
19.84109824  27.88135814  39.79472877  7.77477086167e+24
20.13037731  36.61740171  26.96759181  1.87546532143e+24
20.46139577  30.60811519  37.98951446  1.47516171851e+24
