#OK
#SQL= select fofId, m_crit200, cmx, cmy, cmz, cvx, cvy, cvz
#	from MillenniumII..FOF 
#	where SnapNum=67
#	and mass>50.0
#	and mass<500.0
#MAXROWS UNLIMITED
#QUERYTIMEOUT 420 sec
#DATE 2015-04-01 22:30:32.184 CEST
#QUERYTIME 101068 millisec
#COLUMN 1 name=fofId JDBC_TYPE=-5 JDBC_TYPENAME=bigint
#COLUMN 2 name=m_crit200 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 3 name=cmx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=cmy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=cmz JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=cvx JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=cvy JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 8 name=cvz JDBC_TYPE=7 JDBC_TYPENAME=real
fofId,m_crit200,cmx,cmy,cmz,cvx,cvy,cvz
670000001008,273.68884,77.705956,18.455221,44.913994,-149.47739,-119.51163,285.19278
670000001009,168.60402,5.5389676,2.9866555,66.88204,352.8657,429.9964,-233.1068
670000001010,330.61337,12.124514,91.86808,62.04265,422.27554,298.27115,363.37772
670000001011,333.40878,37.49678,70.960075,59.058342,275.34677,285.04083,262.81088
670000001012,279.91174,16.106396,73.7814,98.66961,273.6473,200.84708,-124.508484
670000001013,320.07343,35.65348,11.037166,92.64221,68.22217,179.7514,-247.60185
670000001014,315.6448,46.675232,17.266132,69.26331,302.713,196.75603,-103.43129
670000001015,196.11061,31.339403,5.948371,62.249054,266.79608,-185.83809,1.372713
670000001016,137.6865,75.35503,50.32226,51.481888,-174.3244,12.796068,430.1308
670000001017,329.92896,39.756584,13.759888,25.242136,-284.6887,-362.4735,-61.894245
670000001018,241.36739,2.927817,66.39655,48.474297,159.3065,65.9531,-14.063374
670000001019,264.08185,93.16394,67.94145,82.4969,105.815765,157.7285,56.07027
670000001020,321.5248,39.31935,69.89354,63.43234,210.99115,359.1222,270.77542
670000001021,190.1528,13.242823,66.6077,32.737915,313.85175,3.685342,-68.1424
670000001022,319.72845,92.58489,23.311626,58.64508,-47.90343,-150.10283,560.8385
670000001023,320.5533,93.606705,94.07082,58.50738,207.2464,306.5988,123.7268
670000001024,325.02393,49.506634,50.33148,87.29719,-130.66785,-106.1054,-313.70563
670000001025,197.01328,5.848947,41.912548,70.44854,55.906666,-343.857,229.8364
670000001026,282.02206,90.97758,8.845114,66.70774,-107.37805,-105.661545,-60.052456
670000001027,234.383,3.9631867,19.218424,68.21435,-12.231656,-180.5688,-142.52484
670000001028,236.33633,84.41462,5.5015416,91.00926,-100.59053,66.80138,-188.40787
670000001029,327.9219,27.84394,46.912315,60.842213,267.068,65.92554,47.980278
670000001030,288.9555,62.47634,18.106737,75.88985,40.742718,-28.294931,-79.337036
670000001031,324.6032,29.107729,93.83519,46.591305,337.8755,-92.53189,208.45424
670000001032,265.2055,48.02484,11.199803,98.59407,-174.43289,-14.322066,-42.425274
670000001033,226.23705,46.313797,3.113501,54.68991,-135.53426,-120.72048,109.58778
670000001034,301.13278,5.221472,89.905525,65.003105,358.47308,514.76825,85.0544
670000001035,301.51697,74.65409,30.7086,89.48363,-145.85204,134.08957,-459.75793
670000001036,310.21097,25.991175,14.581043,35.78321,234.65012,-99.23852,14.2446785
670000001037,170.17249,85.27893,37.06175,16.43936,110.77463,-34.768616,-173.75873
670000001038,223.42993,80.975784,95.86353,52.947037,-96.85145,100.807556,338.76062
670000001039,136.70671,60.368145,73.64589,28.075605,-506.75317,148.76398,108.13957
670000001040,274.555,66.99136,2.3193765,61.049667,-233.00746,193.98256,497.16544
670000001041,290.6293,40.911083,38.271687,96.766754,193.11473,-37.561687,-157.15404
670000001042,312.1478,33.005535,34.018597,98.82248,361.6031,-117.74057,-77.379395
670000001043,301.64023,17.213251,99.351685,18.919638,126.65702,8.986766,4.647298
670000001044,307.77084,69.60307,61.277668,23.298838,-271.14252,118.920944,-103.88951
670000001045,279.71136,50.659374,7.205337,32.20977,-457.06863,-144.52061,160.74733
670000001046,291.6139,59.758472,1.074678,59.799484,-224.78036,66.827545,230.52336
670000001047,219.6568,16.945042,91.23383,94.47769,27.966702,-241.78018,30.559397
670000001048,264.4509,61.906837,12.536211,60.06847,-337.50833,160.37927,648.94226
670000001049,271.04214,64.23627,41.343697,79.77853,-293.03534,-212.2564,-340.84042
670000001050,253.45651,39.021427,44.132385,88.01521,139.36342,78.025826,-174.60655
670000001051,314.2182,73.47169,63.891052,22.10412,-258.615,34.89543,-52.177135
670000001052,241.84454,51.235348,7.1628795,3.270847,-420.85422,120.7496,-152.03317
670000001053,280.4887,66.18046,90.14776,14.48435,-243.72679,-151.47998,-79.38373
670000001054,286.68063,92.86563,38.238266,61.75752,-12.221113,-165.34363,-4.4302387
670000001055,162.0472,73.268295,92.98841,69.71771,-240.2349,549.38794,-193.88591
